Term,Role,Attribute,Freq,numdocs,_keep,Key,Parent,Parent_id,_ispar,Weight
山地,,Alpha,1,1,Y,1015,,1015,,1
工業,,Alpha,2,1,Y,1016,,1016,,1
規定,,Alpha,1,1,Y,1017,,1017,,1
奈良県,,Alpha,2,1,Y,1018,,1018,,1
ファイルダウンロード,,Alpha,1,1,Y,1019,,1019,,1
直道,,Alpha,2,1,Y,1020,,1020,,1
ホテル,,Alpha,1,1,Y,1021,,1021,,1
急速に,,Alpha,2,2,Y,3977,973,973,.,0.8245749364
シャワー,,Alpha,1,1,Y,1022,,1022,,1
生き延びる,,Alpha,1,1,Y,1023,,1023,,1
京浜地帯,nlpNounGroup,Alpha,1,1,Y,1024,,1024,,1
思わ,,Alpha,1,1,Y,3978,857,857,.,1
トンボ,,Alpha,1,1,Y,1025,,1025,,1
乗って,,Alpha,1,1,Y,3979,985,985,.,1
運休する,,Alpha,1,1,Y,1026,,1026,+,1
中国人,nlpNounGroup,Alpha,1,1,Y,1027,,1027,,1
仕事内容,nlpNounGroup,Alpha,1,1,Y,1028,,1028,,1
保護,,Alpha,1,1,Y,1029,,1029,,1
ブース,,Alpha,1,1,Y,1030,,1030,,1
元気だ,,Alpha,1,1,Y,1031,,1031,+,1
解除する,,Alpha,1,1,Y,1032,,1032,+,1
崎,,Alpha,2,1,Y,1033,,1033,,1
死亡,,Alpha,1,1,Y,1034,,1034,,1
いくら,,Alpha,1,1,Y,1035,,1035,,1
河原町,,Alpha,1,1,Y,1036,,1036,,1
ゆっくり,,Alpha,1,1,Y,1037,,1037,,1
破産宣告,nlpNounGroup,Alpha,1,1,Y,1038,,1038,,1
茶,,Alpha,1,1,Y,1039,,1039,,1
方向,,Alpha,1,1,Y,1040,,1040,,1
水,,Alpha,9,6,Y,1041,,1041,,0.5608657475
空き,,Alpha,1,1,Y,1042,,1042,,1
挨拶文,,Alpha,1,1,Y,1043,,1043,,1
逃れる,,Alpha,1,1,Y,1044,,1044,+,1
成長した,,Alpha,1,1,Y,3980,2655,2655,.,1
一言,,Alpha,1,1,Y,1045,,1045,,1
三浦,,Alpha,3,2,Y,1046,,1046,,0.8389078949
カンニングする,,Alpha,1,1,Y,1047,,1047,+,1
同教育学部長,nlpNounGroup,Alpha,1,1,Y,1048,,1048,,1
本県,,Alpha,4,2,Y,1049,,1049,,0.8576814834
続く,,Alpha,4,3,Y,1050,,1050,+,0.7368624046
続く,,Alpha,1,1,Y,1050,1050,1050,.,0.7368624046
大切だ,,Alpha,1,1,Y,1051,,1051,+,1
タレント,,Alpha,1,1,Y,1052,,1052,,1
島,,Alpha,2,1,Y,1053,,1053,,1
調,,Alpha,1,1,Y,1054,,1054,,1
契約,,Alpha,1,1,Y,1055,,1055,,1
こだわり,,Alpha,1,1,Y,3981,1061,1061,.,1
開発する,,Alpha,2,1,Y,1056,,1056,+,1
もたらした,,Alpha,1,1,Y,3982,434,434,.,1
っけ,,Alpha,1,1,Y,1057,,1057,,1
不足,,Alpha,1,1,Y,1058,,1058,,1
大垣,,Alpha,3,1,Y,1059,,1059,,1
分から,,Alpha,1,1,Y,3983,1069,1069,.,1
大人気,,Alpha,1,1,Y,1060,,1060,,1
こだわる,,Alpha,1,1,Y,1061,,1061,+,1
照会,,Alpha,1,1,Y,1062,,1062,,1
ケーキ,,Alpha,3,1,Y,1063,,1063,,1
分かり,,Alpha,2,2,Y,3984,1069,1069,.,0.8245749364
起きて,,Alpha,1,1,Y,3985,1088,1088,.,1
非常だ,,Alpha,1,1,Y,1064,,1064,+,1
路線,,Alpha,1,1,Y,1065,,1065,,1
酪農,,Alpha,2,1,Y,1066,,1066,,1
隔年,,Alpha,1,1,Y,1067,,1067,,1
やはり,,Alpha,1,1,Y,1068,,1068,,1
分かる,,Alpha,3,2,Y,1069,,1069,+,0.8389078949
挙げ,,Alpha,2,1,Y,3986,3388,3388,.,1
最寄,,Alpha,1,1,Y,1070,,1070,,1
有数,,Alpha,1,1,Y,1071,,1071,,1
元気に,,Alpha,1,1,Y,3987,1031,1031,.,1
含める,,Alpha,2,2,Y,1072,,1072,+,0.8245749364
含める,,Alpha,1,1,Y,1072,1072,1072,.,0.8245749364
いただき,,Alpha,2,2,Y,3988,1082,1082,.,0.8245749364
聞かせる,,Alpha,1,1,Y,1073,,1073,+,1
現,,Alpha,2,2,Y,1074,,1074,,0.8245749364
台地,,Alpha,1,1,Y,1075,,1075,,1
当時,,Alpha,9,4,Y,1076,,1076,,0.6535464633
サラダ,,Alpha,1,1,Y,1077,,1077,,1
節,,Alpha,2,1,Y,1078,,1078,,1
日本,,Alpha,12,7,Y,1079,,1079,,0.546532789
時間,,Alpha,7,5,Y,1080,,1080,,0.6077624778
逆に,,Alpha,1,1,Y,1081,,1081,,1
いただく,,Alpha,5,4,Y,1082,,1082,+,0.6628456418
いただく,,Alpha,2,2,Y,1082,1082,1082,.,0.6628456418
火山火口規制情報,nlpNounGroup,Alpha,1,1,Y,1083,,1083,,1
記載する,,Alpha,1,1,Y,1084,,1084,+,1
建築主,nlpNounGroup,Alpha,1,1,Y,1085,,1085,,1
経済学,nlpNounGroup,Alpha,1,1,Y,1086,,1086,,1
もし,,Alpha,1,1,Y,3989,1091,1091,.,1
ワカメ,,Alpha,1,1,Y,1087,,1087,,1
起きる,,Alpha,1,1,Y,1088,,1088,+,1
崎 北緯,nlpNounGroup,Alpha,1,1,Y,1089,,1089,,1
多数輩出,nlpNounGroup,Alpha,1,1,Y,1090,,1090,,1
なった,,Alpha,4,3,Y,3990,2412,2412,.,0.7368624046
大切な,,Alpha,1,1,Y,3991,1051,1051,.,1
もす,,Alpha,1,1,Y,1091,,1091,+,1
一歩,,Alpha,1,1,Y,1092,,1092,,1
衆議院議員,,Alpha,1,1,Y,1093,,1093,,1
ヘタウマ漫画家,nlpNounGroup,Alpha,1,1,Y,1094,,1094,,1
東京,,Alpha,5,4,Y,1095,,1095,,0.6628456418
１人,,Mixed,1,1,Y,1096,,1096,,1
埼玉県,,Alpha,1,1,Y,1097,,1097,,1
ファクス,,Alpha,3,2,Y,1098,,1098,,0.8389078949
フェ,,Alpha,1,1,Y,1099,,1099,,1
佐賀,,Alpha,3,1,Y,1100,,1100,,1
実勢,,Alpha,1,1,Y,1101,,1101,,1
服役,,Alpha,1,1,Y,1102,,1102,,1
淳夫,,Alpha,1,1,Y,1103,,1103,,1
テレビ番組,,Alpha,1,1,Y,1104,,1104,,1
紙コップ,nlpNounGroup,Alpha,1,1,Y,1105,,1105,,1
水分,,Alpha,1,1,Y,1106,,1106,,1
長い,,Alpha,2,2,Y,1107,,1107,+,0.8245749364
長い,,Alpha,1,1,Y,1107,1107,1107,.,0.8245749364
中新郎,nlpNounGroup,Alpha,1,1,Y,1108,,1108,,1
書店 電話番号,nlpNounGroup,Alpha,1,1,Y,1109,,1109,,1
命じ,,Alpha,1,1,Y,3992,714,714,.,1
かけて,,Alpha,2,2,Y,3993,1126,1126,.,0.8245749364
ケース,,Alpha,1,1,Y,1110,,1110,,1
非常に,,Alpha,1,1,Y,3994,1064,1064,.,1
急増する,,Alpha,1,1,Y,1111,,1111,+,1
一,,Alpha,1,1,Y,1112,,1112,,1
挑戦,,Alpha,1,1,Y,1113,,1113,,1
有料,,Alpha,1,1,Y,1114,,1114,,1
病理,,Alpha,1,1,Y,1115,,1115,,1
継続して,,Alpha,1,1,Y,3995,2691,2691,.,1
なって,,Alpha,10,7,Y,3996,2412,2412,.,0.5225055909
大広間詰,nlpNounGroup,Alpha,1,1,Y,1116,,1116,,1
年産,,Alpha,3,1,Y,1117,,1117,,1
組付く,,Alpha,1,1,Y,1118,,1118,+,1
佐渡,,Alpha,1,1,Y,1119,,1119,,1
追い,,Alpha,2,2,Y,3997,1129,1129,.,0.8245749364
プラス,,Alpha,1,1,Y,1120,,1120,,1
披露宴,,Alpha,4,1,Y,1121,,1121,,1
組付け,,Alpha,1,1,Y,3998,1118,1118,.,1
もも,,Alpha,1,1,Y,1122,,1122,,1
卒業,,Alpha,7,2,Y,1123,,1123,,0.8962057652
秋友,,Alpha,2,1,Y,1124,,1124,,1
踏む,,Alpha,1,1,Y,1125,,1125,+,1
かける,,Alpha,2,2,Y,1126,,1126,+,0.8245749364
カート,,Alpha,2,1,Y,1127,,1127,,1
-6260,,Num,1,1,Y,1128,,1128,,1
追う,,Alpha,2,2,Y,1129,,1129,+,0.8245749364
減った,,Alpha,1,1,Y,3999,2602,2602,.,1
取り扱い,,Alpha,1,1,Y,1130,,1130,,1
ご当地グルメ,nlpNounGroup,Alpha,1,1,Y,1131,,1131,,1
経つ,,Alpha,7,2,Y,1132,,1132,+,0.8962057652
箱,,Alpha,1,1,Y,1133,,1133,,1
って,,Alpha,1,1,Y,1134,,1134,,1
年代,,Alpha,6,3,Y,1135,,1135,,0.7804328737
こんな,,Alpha,1,1,Y,1136,,1136,,1
取り扱う,,Alpha,1,1,Y,1137,,1137,,1
所属名,nlpNounGroup,Alpha,1,1,Y,1138,,1138,,1
喩,,Alpha,2,1,Y,1139,,1139,,1
注釈,,Alpha,1,1,Y,1140,,1140,,1
経て,,Alpha,7,2,Y,4000,1132,1132,.,0.8962057652
東南アジア,,Alpha,1,1,Y,1141,,1141,,1
看板店,nlpNounGroup,Alpha,1,1,Y,1142,,1142,,1
素敵な披露宴,nlpNounGroup,Alpha,1,1,Y,1143,,1143,,1
もと,,Alpha,2,2,Y,1144,,1144,,0.8245749364
長く,,Alpha,1,1,Y,4001,1107,1107,.,1
働き者,,Alpha,1,1,Y,1145,,1145,,1
お取引時点,nlpNounGroup,Alpha,1,1,Y,1146,,1146,,1
上,,Alpha,9,8,Y,1147,,1147,,0.4828990525
迎え,,Alpha,2,2,Y,1148,,1148,,0.8245749364
適用さ,,Alpha,1,1,Y,4002,362,362,.,1
下,,Alpha,5,3,Y,1149,,1149,,0.7595009048
長州,,Alpha,7,1,Y,1150,,1150,,1
チョウ,,Alpha,1,1,Y,1151,,1151,,1
埋める,,Alpha,1,1,Y,1152,,1152,+,1
福島県,,Alpha,1,1,Y,1153,,1153,,1
都道府県,,Alpha,1,1,Y,1154,,1154,,1
騒音トラブル,nlpNounGroup,Alpha,1,1,Y,1155,,1155,,1
不,,Alpha,1,1,Y,1156,,1156,,1
カ月,,Alpha,1,1,Y,1157,,1157,,1
バックライト,nlpNounGroup,Alpha,1,1,Y,1158,,1158,,1
原告,,Alpha,2,1,Y,1159,,1159,,1
得た,,Alpha,1,1,Y,4003,1226,1226,.,1
敷地内,,Alpha,1,1,Y,1160,,1160,,1
通して,,Alpha,1,1,Y,4004,388,388,.,1
チューブ,,Alpha,1,1,Y,1161,,1161,,1
カウンター席,nlpNounGroup,Alpha,1,1,Y,1162,,1162,,1
お花,,Alpha,1,1,Y,1163,,1163,,1
もの,,Alpha,10,8,Y,1164,,1164,,0.4874205782
得だ,,Alpha,1,1,Y,1165,,1165,+,1
破産,,Alpha,2,1,Y,1166,,1166,,1
長さ,,Alpha,3,1,Y,1167,,1167,,1
ｔｖ,,Alpha,2,1,Y,1168,,1168,,1
訪れて,,Alpha,1,1,Y,4005,1196,1196,.,1
アナウンサー,,Alpha,2,1,Y,1169,,1169,,1
嬉しい,,Alpha,3,2,Y,1170,,1170,,0.8389078949
極まりない,,Alpha,1,1,Y,1171,,1171,+,1
参加資格,nlpNounGroup,Alpha,1,1,Y,1172,,1172,,1
参考品種,nlpNounGroup,Alpha,1,1,Y,1173,,1173,,1
心労,,Alpha,1,1,Y,1174,,1174,,1
恐縮,,Alpha,1,1,Y,1175,,1175,,1
くれる,,Alpha,2,2,Y,1176,,1176,+,0.8245749364
見たら,,Alpha,1,1,Y,4006,3194,3194,.,1
奈良公園,,Alpha,1,1,Y,1177,,1177,,1
出品,,Alpha,2,1,Y,1178,,1178,,1
国民,,Alpha,4,2,Y,1179,,1179,,0.8576814834
未定,,Alpha,1,1,Y,1180,,1180,,1
結果,,Alpha,2,2,Y,1181,,1181,,0.8245749364
子ども,,Alpha,1,1,Y,1182,,1182,,1
川崎区,,Alpha,1,1,Y,1183,,1183,,1
切り麺,nlpNounGroup,Alpha,1,1,Y,1184,,1184,,1
1km範囲内,nlpNounGroup,Alpha,1,1,Y,1185,,1185,,1
[トランクス,nlpNounGroup,Alpha,2,1,Y,1186,,1186,,1
描か,,Alpha,1,1,Y,4007,1203,1203,.,1
自分,,Alpha,2,2,Y,1187,,1187,,0.8245749364
青天の霹靂,,Alpha,3,1,Y,1188,,1188,,1
事件,,Alpha,2,1,Y,1189,,1189,,1
公園,,Alpha,3,3,Y,1190,,1190,,0.7219578525
volcano,,Alpha,1,1,Y,1191,,1191,,1
行った,,Alpha,2,1,Y,4008,1555,1555,.,1
歳年下,nlpNounGroup,Alpha,1,1,Y,1192,,1192,,1
様子,,Alpha,1,1,Y,1193,,1193,,1
鉄道,,Alpha,1,1,Y,1194,,1194,,1
ボトル,,Alpha,1,1,Y,1195,,1195,,1
訪れる,,Alpha,2,2,Y,1196,,1196,+,0.8245749364
訪れる,,Alpha,1,1,Y,1196,1196,1196,.,0.8245749364
どのような,,Alpha,2,1,Y,1197,,1197,,1
セールスマン,nlpNounGroup,Alpha,1,1,Y,1198,,1198,,1
プレゼント,,Alpha,3,2,Y,1199,,1199,,0.8389078949
仲間,,Alpha,3,1,Y,1200,,1200,,1
名勝,,Alpha,1,1,Y,1201,,1201,,1
地方,,Alpha,3,3,Y,1202,,1202,,0.7219578525
描く,,Alpha,2,2,Y,1203,,1203,+,0.8245749364
男性,,Alpha,1,1,Y,1204,,1204,,1
税金,,Alpha,2,1,Y,1205,,1205,,1
丘,,Alpha,1,1,Y,1206,,1206,,1
触れ,,Alpha,1,1,Y,1207,,1207,,1
適用,,Alpha,2,1,Y,1208,,1208,,1
宮崎県,,Alpha,1,1,Y,1209,,1209,,1
勧善懲悪,,Alpha,1,1,Y,1210,,1210,,1
小川,,Alpha,2,2,Y,1211,,1211,,0.8245749364
数量,,Alpha,1,1,Y,1212,,1212,,1
月末,,Alpha,1,1,Y,1213,,1213,,1
言い,,Alpha,1,1,Y,4009,1223,1223,.,1
wakasato,,Alpha,1,1,Y,1214,,1214,,1
初め,,Alpha,1,1,Y,1215,,1215,,1
実技,,Alpha,2,1,Y,1216,,1216,,1
得な,,Alpha,1,1,Y,4010,1165,1165,.,1
道徳,,Alpha,1,1,Y,1217,,1217,,1
チョコ,,Alpha,1,1,Y,1218,,1218,,1
昇任年齢,nlpNounGroup,Alpha,1,1,Y,1219,,1219,,1
没,,Alpha,2,1,Y,1220,,1220,,1
相談,,Alpha,1,1,Y,1221,,1221,,1
種類,,Alpha,2,2,Y,1222,,1222,,0.8245749364
言う,,Alpha,8,7,Y,1223,,1223,+,0.5175810751
言う,,Alpha,2,2,Y,1223,1223,1223,.,0.5175810751
試した,,Alpha,1,1,Y,4011,3571,3571,.,1
極まりなく,,Alpha,1,1,Y,4012,1171,1171,.,1
物語後半,nlpNounGroup,Alpha,1,1,Y,1224,,1224,,1
工房,,Alpha,1,1,Y,1225,,1225,,1
得る,,Alpha,2,2,Y,1226,,1226,+,0.8245749364
得る,,Alpha,1,1,Y,1226,1226,1226,.,0.8245749364
胚芽米,,Alpha,1,1,Y,1227,,1227,,1
行って,,Alpha,2,2,Y,4013,1555,1555,.,0.8245749364
宿泊施設,nlpNounGroup,Alpha,1,1,Y,1228,,1228,,1
割合,,Alpha,1,1,Y,1229,,1229,,1
太郎,,Alpha,1,1,Y,1230,,1230,,1
特許庁,,Alpha,1,1,Y,1231,,1231,,1
スタッフ,,Alpha,1,1,Y,1232,,1232,,1
モーニング,,Alpha,1,1,Y,1233,,1233,,1
) 初代,nlpNounGroup,Alpha,1,1,Y,1234,,1234,,1
購入希望数量,nlpNounGroup,Alpha,1,1,Y,1235,,1235,,1
博す,,Alpha,1,1,Y,1236,,1236,+,1
置か,,Alpha,1,1,Y,4014,1254,1254,.,1
取り除く,,Alpha,1,1,Y,1237,,1237,+,1
大物女優,nlpNounGroup,Alpha,1,1,Y,1238,,1238,,1
伝え,,Alpha,1,1,Y,1239,,1239,,1
午前,,Alpha,5,5,Y,1240,,1240,,0.5926756163
担当,,Alpha,3,2,Y,1241,,1241,,0.8389078949
津田,,Alpha,3,1,Y,1242,,1242,,1
使って,,Alpha,1,1,Y,4015,581,581,.,1
蛍光灯,,Alpha,1,1,Y,1243,,1243,,1
遂げる,,Alpha,1,1,Y,1244,,1244,,1
ｅｔｃ,,Alpha,1,1,Y,1245,,1245,,1
いたむ,,Alpha,1,1,Y,1246,,1246,+,1
外貨両替取り扱い局,nlpNounGroup,Alpha,1,1,Y,1247,,1247,,1
事務局 教育委員会 警察本部 部局,nlpNounGroup,Alpha,1,1,Y,1248,,1248,,1
両,,Alpha,1,1,Y,1249,,1249,,1
毎日,,Alpha,1,1,Y,1250,,1250,,1
穀倉,,Alpha,1,1,Y,1251,,1251,,1
董卓,,Alpha,1,1,Y,1252,,1252,,1
ケチ,,Alpha,2,1,Y,1253,,1253,,1
置く,,Alpha,1,1,Y,1254,,1254,+,1
関西,,Alpha,1,1,Y,1255,,1255,,1
隆芳,,Alpha,1,1,Y,1256,,1256,,1
マシン,,Alpha,1,1,Y,1257,,1257,,1
進めて,,Alpha,1,1,Y,4016,1279,1279,.,1
株式会社,,Alpha,1,1,Y,1258,,1258,,1
適用相場,nlpNounGroup,Alpha,1,1,Y,1259,,1259,,1
コメ食味ランキング,nlpNounGroup,Alpha,1,1,Y,1260,,1260,,1
料理,,Alpha,5,2,Y,1261,,1261,,0.8733557181
ウサギ,,Alpha,1,1,Y,1262,,1262,,1
原温泉,nlpNounGroup,Alpha,1,1,Y,1263,,1263,,1
データ,,Alpha,2,2,Y,1264,,1264,,0.8245749364
(日,nlpNounGroup,Alpha,1,1,Y,1265,,1265,,1
泊,,Alpha,3,1,Y,1266,,1266,,1
画面,,Alpha,1,1,Y,1267,,1267,,1
経由,,Alpha,2,1,Y,1268,,1268,,1
わいた,,Alpha,1,1,Y,4017,2979,2979,.,1
お爺さん,,Alpha,2,1,Y,1269,,1269,,1
全面的だ,,Alpha,1,1,Y,1270,,1270,+,1
久,,Alpha,1,1,Y,1271,,1271,,1
いい,,Alpha,25,15,Y,1272,,1272,+,0.3510201399
いい,,Alpha,3,2,Y,1272,1272,1272,.,0.3510201399
どうぶつ,,Alpha,1,1,Y,1273,,1273,,1
なければ,,Alpha,3,2,Y,4018,2405,2405,.,0.8389078949
(h27年,nlpNounGroup,Alpha,1,1,Y,1274,,1274,,1
国民識別番号,nlpNounGroup,Alpha,1,1,Y,1275,,1275,,1
当地,,Alpha,1,1,Y,1276,,1276,,1
いう,,Alpha,47,16,Y,1277,,1277,+,0.3509005384
いう,,Alpha,33,13,Y,1277,1277,1277,.,0.3509005384
誇る,,Alpha,1,1,Y,1278,,1278,+,1
占めて,,Alpha,1,1,Y,4019,1305,1305,.,1
懸念さ,,Alpha,1,1,Y,4020,3095,3095,.,1
進める,,Alpha,3,2,Y,1279,,1279,+,0.8389078949
人生相談,,Alpha,1,1,Y,1280,,1280,,1
電動ドライバー,nlpNounGroup,Alpha,1,1,Y,1281,,1281,,1
いたり,,Alpha,1,1,Y,4021,1285,1285,.,1
準決勝,,Alpha,2,1,Y,1282,,1282,,1
ゆったり,,Alpha,1,1,Y,4022,130,130,.,1
いえ,,Alpha,1,1,Y,4023,1277,1277,.,1
屏風,,Alpha,1,1,Y,1283,,1283,,1
拒否,,Alpha,1,1,Y,1284,,1284,,1
いたる,,Alpha,1,1,Y,1285,,1285,+,1
流れる,,Alpha,1,1,Y,1286,,1286,,1
hidaka1125,,Mixed,2,1,Y,1287,,1287,,1
しまった,,Alpha,1,1,Y,4024,3206,3206,.,1
体験する,,Alpha,1,1,Y,1288,,1288,+,1
-1401,,Num,1,1,Y,1289,,1289,,1
バカ,,Alpha,1,1,Y,1290,,1290,,1
三国,,Alpha,1,1,Y,1291,,1291,,1
孫権,,Alpha,3,1,Y,1292,,1292,,1
之,,Alpha,1,1,Y,1293,,1293,,1
自慢,,Alpha,1,1,Y,1294,,1294,,1
普通だ,,Alpha,1,1,Y,1295,,1295,+,1
広島大学,,Alpha,4,1,Y,1296,,1296,,1
配布する,,Alpha,1,1,Y,1297,,1297,+,1
中,,Alpha,20,16,Y,1298,,1298,,0.3119955146
地帯,,Alpha,3,1,Y,1299,,1299,,1
環境,,Alpha,6,6,Y,1300,,1300,,0.546532789
言葉,,Alpha,1,1,Y,1301,,1301,,1
亡くなり,,Alpha,1,1,Y,4025,1307,1307,.,1
米ドル紙幣,nlpNounGroup,Alpha,1,1,Y,1302,,1302,,1
c2,,Mixed,1,1,Y,1303,,1303,,1
高い,,Alpha,6,5,Y,1304,,1304,+,0.6050078101
高い,,Alpha,5,5,Y,1304,1304,1304,.,0.6050078101
占める,,Alpha,1,1,Y,1305,,1305,+,1
生産地,,Alpha,1,1,Y,1306,,1306,,1
亡くなる,,Alpha,2,2,Y,1307,,1307,+,0.8245749364
サプライズ,,Alpha,5,1,Y,1308,,1308,,1
いき,,Alpha,4,3,Y,4026,3410,3410,.,0.7368624046
法,,Alpha,1,1,Y,1309,,1309,,1
大規模,,Alpha,1,1,Y,1310,,1310,,1
全面的に,,Alpha,1,1,Y,4027,1270,1270,.,1
いく,,Alpha,2,2,Y,1311,,1311,+,0.8245749364
いく,,Alpha,1,1,Y,1311,1311,1311,.,0.8245749364
劉備,,Alpha,16,1,Y,1312,,1312,,1
取引,,Alpha,2,1,Y,1313,,1313,,1
加盟国,,Alpha,1,1,Y,1314,,1314,,1
節分商品,nlpNounGroup,Alpha,1,1,Y,1315,,1315,,1
串,,Alpha,1,1,Y,1316,,1316,,1
初日,,Alpha,1,1,Y,1317,,1317,,1
基準,,Alpha,3,2,Y,1318,,1318,,0.8389078949
方言,,Alpha,2,1,Y,1319,,1319,,1
絵本,,Alpha,2,1,Y,1320,,1320,,1
四日市,,Alpha,1,1,Y,1321,,1321,,1
月曜日,,Alpha,1,1,Y,1322,,1322,,1
迎春商品,nlpNounGroup,Alpha,1,1,Y,1323,,1323,,1
直径30cm程度,nlpNounGroup,Alpha,1,1,Y,1324,,1324,,1
よいバランス,nlpNounGroup,Alpha,1,1,Y,1325,,1325,,1
油,,Alpha,1,1,Y,1326,,1326,,1
いけ,,Alpha,1,1,Y,4028,1311,1311,.,1
初代,,Alpha,1,1,Y,1327,,1327,,1
天気,,Alpha,1,1,Y,1328,,1328,,1
所属,,Alpha,3,1,Y,1329,,1329,,1
奪って,,Alpha,1,1,Y,4029,3761,3761,.,1
支配する,,Alpha,1,1,Y,1330,,1330,+,1
攻め,,Alpha,3,1,Y,4030,2233,2233,.,1
緩和して,,Alpha,1,1,Y,4031,2857,2857,.,1
終了,,Alpha,1,1,Y,1331,,1331,,1
資源,,Alpha,3,1,Y,1332,,1332,,1
導入する,,Alpha,2,2,Y,1333,,1333,+,0.8245749364
域外,,Alpha,1,1,Y,1334,,1334,,1
悪い,,Alpha,3,3,Y,1335,,1335,+,0.7219578525
悪い,,Alpha,2,2,Y,1335,1335,1335,.,0.7219578525
幅広い,,Alpha,1,1,Y,1336,,1336,,1
タジタジ,,Alpha,1,1,Y,1337,,1337,,1
尊い,,Alpha,1,1,Y,1338,,1338,+,1
強化,,Alpha,3,2,Y,1339,,1339,,0.8389078949
普通に,,Alpha,1,1,Y,4032,1295,1295,.,1
のんびり,,Alpha,1,1,Y,1340,,1340,,1
所属する,,Alpha,1,1,Y,1341,,1341,,1
テレビショッピング,,Alpha,1,1,Y,1342,,1342,,1
個人,,Alpha,2,1,Y,1343,,1343,,1
就職,,Alpha,1,1,Y,1344,,1344,,1
山形,,Alpha,3,2,Y,1345,,1345,,0.8389078949
日間,,Alpha,2,1,Y,1346,,1346,,1
求めた,,Alpha,1,1,Y,4033,1393,1393,.,1
丹,,Alpha,2,2,Y,1347,,1347,,0.8245749364
嘘,,Alpha,1,1,Y,1348,,1348,,1
讃,,Alpha,1,1,Y,1349,,1349,,1
バス,,Alpha,1,1,Y,1350,,1350,,1
高く,,Alpha,1,1,Y,4034,1304,1304,.,1
交通事故,,Alpha,1,1,Y,1351,,1351,,1
依頼する,,Alpha,1,1,Y,1352,,1352,+,1
骨,,Alpha,1,1,Y,1353,,1353,,1
お気,,Alpha,1,1,Y,1354,,1354,,1
課長級,nlpNounGroup,Alpha,1,1,Y,1355,,1355,,1
メリーゴーランド写真,nlpNounGroup,Alpha,1,1,Y,1356,,1356,,1
ヒラトヤブライダルファッション,,Alpha,2,1,Y,1357,,1357,,1
主,,Alpha,1,1,Y,1358,,1358,,1
三景,,Alpha,1,1,Y,1359,,1359,,1
http://transit.loco.yahoo.co.jp/,,Mixed,1,1,Y,1360,,1360,,1
謳う,,Alpha,1,1,Y,1361,,1361,+,1
お互い,,Alpha,2,1,Y,1362,,1362,,1
集まる,,Alpha,1,1,Y,1363,,1363,+,1
指摘する,,Alpha,1,1,Y,1364,,1364,+,1
ｓｔａｇｅ,,Alpha,5,1,Y,1365,,1365,,1
外貨現金,nlpNounGroup,Alpha,1,1,Y,1366,,1366,,1
会社,,Alpha,7,5,Y,1367,,1367,,0.6077624778
周年,,Alpha,1,1,Y,1368,,1368,,1
いたま,,Alpha,1,1,Y,4035,1246,1246,.,1
就労,,Alpha,1,1,Y,1369,,1369,,1
始めた,,Alpha,2,2,Y,4036,1426,1426,.,0.8245749364
悪い意味,nlpNounGroup,Alpha,1,1,Y,1370,,1370,,1
調査,,Alpha,6,3,Y,1371,,1371,,0.7440288839
イープレシャス,,Alpha,1,1,Y,1372,,1372,,1
ブランド化する,,Alpha,1,1,Y,1373,,1373,,1
両面,,Alpha,1,1,Y,1374,,1374,,1
教材,,Alpha,1,1,Y,1375,,1375,,1
牧草,,Alpha,1,1,Y,1376,,1376,,1
めぐり,,Alpha,1,1,Y,4037,1378,1378,.,1
捕った,,Alpha,1,1,Y,4038,3300,3300,.,1
発達した,,Alpha,1,1,Y,4039,2935,2935,.,1
表示,,Alpha,2,1,Y,1377,,1377,,1
めぐる,,Alpha,2,2,Y,1378,,1378,+,0.8245749364
為替相場,,Alpha,4,1,Y,1379,,1379,,1
電話番号,,Alpha,6,4,Y,1380,,1380,,0.6634828313
こんばんは,,Alpha,1,1,Y,1381,,1381,,1
プロジェクト,,Alpha,1,1,Y,1382,,1382,,1
1万トン台中盤,nlpNounGroup,Alpha,1,1,Y,1383,,1383,,1
いた,,Alpha,18,11,Y,4040,1448,1448,.,0.4474683353
丹沢,,Alpha,2,1,Y,1384,,1384,,1
ぐらい,,Alpha,1,1,Y,1385,,1385,,1
決定する,,Alpha,2,2,Y,1386,,1386,+,0.8245749364
仁井田,,Alpha,1,1,Y,1387,,1387,,1
いち,,Alpha,1,1,Y,1388,,1388,,1
長男,,Alpha,1,1,Y,1389,,1389,,1
識別番号,,Alpha,1,1,Y,1390,,1390,,1
-3555 fax番号,nlpNounGroup,Alpha,1,1,Y,1391,,1391,,1
先生,,Alpha,1,1,Y,1392,,1392,,1
求める,,Alpha,1,1,Y,1393,,1393,+,1
皆さん,,Alpha,6,5,Y,1394,,1394,,0.6050078101
公開捜査,nlpNounGroup,Alpha,1,1,Y,1395,,1395,,1
帰任旅費会社負担,nlpNounGroup,Alpha,1,1,Y,1396,,1396,,1
いっ,,Alpha,1,1,Y,4041,1277,1277,.,1
消し,,Alpha,1,1,Y,4042,1416,1416,.,1
異変,,Alpha,1,1,Y,1397,,1397,,1
育成,,Alpha,2,1,Y,1398,,1398,,1
言わ,,Alpha,3,3,Y,4043,1223,1223,.,0.7219578525
ブライダルスタッフ,,Alpha,1,1,Y,1399,,1399,,1
文,,Alpha,5,1,Y,1400,,1400,,1
-285,,Num,1,1,Y,1401,,1401,,1
